Week,Rank,Percentage,Rank + Judge Save,Percentage + Judge Save
S30W3,0.0,0.0,0.0,0.0
S30W5,0.0,0.0,0.0,0.0
S30W8,0.0,0.0,0.0,0.0
S30W9,0.0,0.0,0.0,0.0
S31W5,0.0,0.0,0.0,0.0
S31W7,0.0,0.0,0.0,0.0
S31W9,0.0,0.0,0.0,0.0
S32W2,0.0,0.0,0.0,0.0
S32W4,0.0,0.0,0.0,0.0
S32W5,0.0006666666666666666,0.0,0.0,0.0
S32W6,0.0,0.0,0.0,0.0
S32W7,0.0,0.0,0.0,0.0
S32W8,0.0013333333333333333,0.0,0.0,0.0
S33W4,0.0,0.0,0.0,0.0
S33W5,0.0,0.0,0.0,0.0
S33W6,0.0,0.0,0.0,0.0
S34W1,0.0,0.0,0.0,0.0
S34W4,0.0,0.0,0.0,0.0
S34W7,0.0,0.0,0.0,0.0
S34W8,0.013333333333333334,0.0,0.0,0.0
S34W10,0.0,0.0,0.0,0.0
